category,item,part_number,qty,unit_mass_g,unit_price_usd,supplier,interface,notes
Propulsion,Motor,iFlight XING2 2806.5 1300KV,4,35,25,iFlight,3-phase,7" class; ~1.3-1.6 kgf @ 4S full throttle → 3.4:1 TWR
Propulsion,Propeller,HQProp 7x4x3 (set),2,5,4,HQProp,—,7" tri-blade; buy 2+ sets of spares
Propulsion,4-in-1 ESC,Holybro Tekko32 F4 Metal 65A,1,35,60,Holybro,DShot/UART,BLHeli_32; 30.5x30.5 mount; integrated current sense
Power,Battery,Tattu R-Line 4S 6000mAh 95C,1,520,65,Tattu,XT60,Biggest mass lever; sets AUW + flight time
Power,Power module,Holybro PM02 (V3) 60A,1,36,18,Holybro,analog V/I,Battery voltage+current telemetry to Pixhawk
Power,5V BEC (companion),Mateksys BEC12S-PRO (5-12V 8A),1,12,15,Mateksys,5V rail,Dedicated 5V/6A+ for Jetson Orin Nano
Power,Custom PSDB,AetherScan Power+Sensor Dist. Board,1,25,12,custom (JLCPCB),—,See hardware/electrical/ — KiCad project (kicad-happy)
Flight Controller,Autopilot,Holybro Pixhawk 6C,1,35,200,Holybro,MAVLink/UART,PX4; offboard setpoints from companion
Compute,Companion,NVIDIA Jetson Orin Nano 8GB Dev Kit,1,150,249,NVIDIA,USB/UART/I2C,Runs ported autonomy stack (redwood_sim core)
Compute,microSD,SanDisk Extreme 128GB A2,1,2,18,SanDisk,—,Jetson OS + maps
Sensing,360 LiDAR,Slamtec RPLIDAR A2M12,1,190,320,Slamtec,UART(USB),0.15-12m; THE validated sensor (REALWORLD §2.1)
Sensing,Depth camera,Intel RealSense D435i,1,72,320,Intel,USB3,Forward depth + IMU; 87° HFOV
Sensing,Flow+ToF,Matek Optical Flow 3901-L0X,1,10,25,Mateksys,UART/I2C,PMW3901 flow + VL53L1X downward ToF (altitude/velocity)
Structure,Carbon plate 2mm,300x200 carbon sheet,1,60,22,generic,—,Cut bottom+top plates (frame.py)
Structure,Carbon tube 12mm,12x12x1.5 square tube 0.5m,2,18,8,generic,—,Arms
Structure,Standoff set,M3 aluminium standoff kit,1,30,10,generic,—,Plate gap + LiDAR mast posts
Structure,Landing gear,10mm carbon rod + 3D-printed feet,1,40,8,generic/print,—,leg_height clears flow/ToF nadir cone
Structure,Prop guards,7" ducted prop guard set,1,40,18,generic,—,Indoor safety; keep out of D435 + LiDAR FOV
Fasteners,M3 hardware kit,M3 bolts/nylocs/grommets,1,30,9,generic,—,Whole airframe is ONE screw size: M3
Wiring,Silicone wire + connectors,16/20/24AWG + XT60/JST,1,50,15,generic,—,Power harness + signal
,,,,,,,,
TOTALS,,,,1442,1659,,,Mass within ±1% of 1450 g AUW target; price excl. tools/charger
